MMSI,Message_ID,Repeat_indicator,Time,Millisecond,Region,Country,Base_station,Online_data,Group_code,Sequence_ID,Channel,Data_length,Vessel_Name,Call_sign,IMO,Ship_Type,Dimension_to_Bow,Dimension_to_stern,Dimension_to_port,Dimension_to_starboard,Draught,Destination,AIS_version,Navigational_status,ROT,SOG,Accuracy,Longitude,Latitude,COG,Heading,Regional,Maneuver,RAIM_flag,Communication_flag,Communication_state,UTC_year,UTC_month,UTC_day,UTC_hour,UTC_minute,UTC_second,Fixing_device,Transmission_control,ETA_month,ETA_day,ETA_hour,ETA_minute,Sequence,Destination_ID,Retransmit_flag,Country_code,Functional_ID,Data,Destination_ID_1,Sequence_1,Destination_ID_2,Sequence_2,Destination_ID_3,Sequence_3,Destination_ID_4,Sequence_4,Altitude,Altitude_sensor,Data_terminal,Mode,Safety_text,Non-standard_bits,Name_extension,Name_extension_padding,Message_ID_1_1,Offset_1_1,Message_ID_1_2,Offset_1_2,Message_ID_2_1,Offset_2_1,Destination_ID_A,Offset_A,Increment_A,Destination_ID_B,offsetB,incrementB,data_msg_type,station_ID,Z_count,num_data_words,health,unit_flag,display,DSC,band,msg22,offset1,num_slots1,timeout1,Increment_1,Offset_2,Number_slots_2,Timeout_2,Increment_2,Offset_3,Number_slots_3,Timeout_3,Increment_3,Offset_4,Number_slots_4,Timeout_4,Increment_4,ATON_type,ATON_name,off_position,ATON_status,Virtual_ATON,Channel_A,Channel_B,Tx_Rx_mode,Power,Message_indicator,Channel_A_bandwidth,Channel_B_bandwidth,Transzone_size,Longitude_1,Latitude_1,Longitude_2,Latitude_2,Station_Type,Report_Interval,Quiet_Time,Part_Number,Vendor_ID,Mother_ship_MMSI,Destination_indicator,Binary_flag,GNSS_status,spare,spare2,spare3,spare4
"308164000","1","0","20130825_004800","335","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","11.5","0","-39.2809333333","44.9020333333","252.0","253.0","","0","0","","32946","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"370803000","1","0","20130825_004810","202","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","12.7","1","-39.4850333333","44.8685","264.0","266.0","","0","0","","16576","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"370803000","1","0","20130825_004830","602","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","12.7","1","-39.4866833333","44.8684","265.0","266.0","","0","0","","114689","","","","","","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_004839","829","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","11.5","0","-39.2837166667","44.9014333333","253.0","253.0","","0","0","","81921","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_005040","57","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","11.5","0","-39.2921166667","44.8994166667","251.0","254.0","","0","0","","49153","","","","","","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"370803000","1","0","20130825_005130","637","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","12.7","1","-39.5013833333","44.86725","262.0","264.0","","0","0","","66849","","","","","","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"338071000","1","0","20130825_004349","966","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","23.6","1","-23.3002183333","38.1240166667","275.8","277.0","","0","0","","65535","","","","","","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_004350","419","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","11.5","0","-39.26275","44.9060666667","251.0","252.0","","0","0","","2286","","","","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"548791000","1","0","20130825_004453","350","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","10.4","0","-44.5848916667","36.8532183333","204.3","209.0","","0","1","","65535","","","","","","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"240730000","1","0","20130825_004526","102","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","-5.40147488834","12.0","0","-64.5558333333","35.2556666667","61.0","55.0","","0","0","","33883","","","","","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_004709","268","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","11.6","0","-39.2771833333","44.9028833333","253.0","253.0","","0","0","","16572","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"548791000","1","0","20130825_004713","670","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","-10.0","10.6","0","-44.588505","36.8469516667","205.3","209.0","","0","1","","33446","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"370803000","1","0","20130825_004719","642","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","12.7","1","-39.4809166667","44.8688166667","263.0","265.0","","0","0","","2287","","","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_004729","722","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","11.5","0","-39.2786166667","44.90255","252.0","253.0","","0","0","","34048","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"548791000","1","0","20130825_004732","816","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","-10.0","10.6","0","-44.589005","36.84611","205.6","210.0","","0","1","","34164","","","","","","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"370803000","1","0","20130825_004759","429","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","12.7","1","-39.4842166667","44.8685666667","263.0","266.0","","0","0","","49153","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"548791000","1","0","20130825_004813","671","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","10.0","10.6","0","-44.590085","36.8442916667","206.1","210.0","","0","1","","16576","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_004829","722","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","11.5","0","-39.2829333333","44.9015833333","253.0","254.0","","0","0","","16576","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"370803000","1","0","20130825_004838","949","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","12.7","1","-39.48735","44.8683666667","265.0","265.0","","0","0","","34394","","","","","","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_005030","216","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","11.4","0","-39.2916166667","44.8995333333","251.0","254.0","","0","0","","114689","","","","","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"370803000","1","0","20130825_005039","177","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","12.7","1","-39.4972","44.8676333333","263.0","264.0","","0","0","","2298","","","","","","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_005049","550","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","11.5","0","-39.2927","44.8992833333","252.0","254.0","","0","0","","81921","","","","","","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"477852400","1","0","20130825_010638","0","80","316","0","1AIS_S","None","","A","[28]","","","","","","","","","","","","8","0.0","15.2","1","-69.47631","31.437765","60.8","53.0","","0","0","","2252","","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"477852400","1","0","20130825_010638","0","80","316","0","1AIS_S","None","","B","[28]","","","","","","","","","","","","8","0.0","15.2","1","-69.47631","31.437765","60.8","53.0","","0","0","","2252","","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"240730000","1","0","20130825_010659","0","80","316","0","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","6.42820152001","11.9","0","-64.4803333333","35.2916666667","60.0","56.0","","0","0","","81920","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"240730000","1","0","20130825_010659","0","80","316","0","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","6.42820152001","11.9","0","-64.4803333333","35.2916666667","60.0","56.0","","0","0","","81920","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"232450000","1","0","20130825_010708","0","80","316","0","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","14.1","1","-75.2750516667","29.7931016667","58.7","57.0","","0","0","","98671","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"232450000","1","0","20130825_010708","0","80","316","0","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","14.1","1","-75.2750516667","29.7931016667","58.7","57.0","","0","0","","98671","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"548791000","1","0","20130825_004223","513","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","10.4","0","-44.5811466667","36.85977","205.0","210.0","","0","1","","2260","","","","","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_004341","60","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","11.5","0","-39.2621833333","44.9062166667","251.0","252.0","","0","0","","67235","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_004541","283","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","11.5","0","-39.27075","44.9042833333","253.0","253.0","","0","0","","34467","","","","","","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_004700","722","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","11.6","0","-39.27645","44.9030166667","254.0","253.0","","0","0","","49153","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"548791000","1","0","20130825_004703","310","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","10.0","10.6","0","-44.58822","36.8474433333","204.6","209.0","","0","1","","33043","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_004920","549","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","11.4","0","-39.28655","44.9008166667","252.0","251.0","","0","0","","81921","","","","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_005000","950","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","11.4","0","-39.28935","44.9000833333","250.0","252.0","","0","0","","2219","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"370803000","1","0","20130825_005010","683","2","316","316000002","1AIS_S","None","","B","[28]","","","","","","","","","","","","0","0.0","12.7","1","-39.4948333333","44.8678333333","264.0","264.0","","0","0","","66079","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_004249","808","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","11.5","0","-39.2586333333","44.90705","252.0","253.0","","0","0","","16552","","","","","","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"548791000","1","0","20130825_004252","739","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","-10.0","10.4","0","-44.5819233333","36.8584683333","205.0","210.0","","0","1","","98303","","","","","","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"240730000","1","0","20130825_004325","490","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","-1.11600720834","12.0","0","-64.563","35.2523333333","60.0","55.0","","0","0","","66651","","","","","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"372897000","1","0","20130825_004330","452","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","10.6","1","-71.0981333333","38.0793166667","71.0","72.0","","0","0","","81924","","","","","","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"548791000","1","0","20130825_004332","685","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","10.3","0","-44.58294","36.856735","203.8","209.0","","0","1","","16556","","","","","","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"338071000","1","0","20130825_004337","273","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","23.5","1","-23.2985683333","38.1238833333","275.5","277.0","","0","0","","16556","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"548791000","1","0","20130825_004533","203","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","10.5","0","-44.5859133333","36.8514433333","204.6","210.0","","0","1","","66932","","","","","","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_004550","990","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","11.6","0","-39.2716166667","44.9040833333","252.0","253.0","","0","0","","34831","","","","","","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_004609","656","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","11.6","0","-39.27275","44.9038166667","252.0","253.0","","0","0","","33281","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_004630","109","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","11.6","0","-39.2744833333","44.9034333333","252.0","254.0","","0","0","","49153","","","","","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"370803000","1","0","20130825_004639","42","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","12.7","1","-39.4773833333","44.8691333333","263.0","264.0","","0","0","","2261","","","","","","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"370803000","1","0","20130825_004900","42","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","12.7","1","-39.48915","44.86825","264.0","265.0","","0","0","","32912","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"308164000","1","0","20130825_004911","296","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","11.3","0","-39.286","44.90095","252.0","251.0","","0","0","","49153","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
"370803000","1","0","20130825_004921","242","2","316","316000002","1AIS_S","None","","A","[28]","","","","","","","","","","","","0","0.0","12.6","1","-39.4908","44.8681333333","264.0","265.0","","0","0","","49153","","","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","",""
